

Dry run — measuring what the backfill would write. Nothing is modified.

Coverage by framework (frameworks with any graded mapping):
  framework                                     total   graded   ambig  nullop   unres   equal  subset  superset
  emea-esp-boe-a-2022-7191 Spain - BOE-A-20       204      204       0       0       0       0      16         0
  usa-federal-dhs-cisa-tic-3-0 CISA Trusted       202      202       0       0       0       0      24         2
  emea-gbr-def-stan-05-138-l1-2024 UK - Def       200      200       0       0       0       3      54         0
  general-aicpa-pmf-2020 AICPA Privacy Mana       197      197       0       0       0       0      24         0
  general-nist-800-161-r1-cscrm NIST SP 800       196      196       0       0       0      31      22         0
  general-iec-62443-4-1-2018 IEC 62443-4-1        186      186       0       0       0       0       5         0
  general-pci-dss-4-0-1-saq-b-ip Payment Ca       185      185       0       0       0       0      15         0
  general-iec-62443-4-2-2019 IEC 62443-4-2        179      179       0       0       0       1       6         0
  general-nist-800-53-r5-2-mod NIST SP 800-       172      172       0       0       0      92       2         0
  emea-sau-cgiot-2024 Saudi Arabia - Cybers       170      170       0       0       0       1      36         0
  usa-federal-dhs-cisa-cpg-2-0 CISA Cross-S       169      169       0       0       0       2      25         0
  general-pci-dss-4-0-1-saq-c-vt Payment Ca       168      168       0       0       0       0      13         0
  general-nist-800-218 NIST SP 800-218            164      164       0       0       0      11      22         0
  general-iec-62443-2-1-2024 IEC 62443-2-1        162      162       0       0       0       6      49         0
  general-coso-2013 Committee of Sponsoring       155      155       0       0       0       0       0         0
  general-nist-800-66-r2 NIST SP 800-66 R2        154      154       0       0       0      16      45         0
  general-nist-800-161-r1-level-1 NIST SP 8       153      153       0       0       0      27      21         0
  general-iso-27701-2025 ISO 27701 (2025)         149      149       0       0       0       1      74         0
  apac-aus-essential-8-2024 Australia - Ess       147      147       0       0       0       4      55         0
  emea-eu-nis2-2022 EU NIS2 Directive (2022       146      146       0       0       0       1      15         0
  general-ul-2900-1-2017 UL 2900-1 (2017)         145      145       0       0       0       0       0         0
  general-cis-csc-8-1-ig1 Critical Security       140      140       0       0       0      21      14         0
  general-nist-800-161-r1-flowdown NIST SP        137      137       0       0       0      23       8         0
  apac-nzl-hisf-suppliers-2023 New Zealand        130      130       0       0       0      18      28         0
  usa-federal-fda-21-cfr-part-11-2025 Food        128      128       0       0       0       0       7         0
  usa-federal-law-glba-cfr-314-2023 Gramm L       128      128       0       0       0       0      34         0
  emea-eu-cyber-resilience-act-annexes-2022       127      127       0       0       0       5      80         0
  usa-federal-tsa-security-directive-1580-8       126      126       0       0       0       0      22         0
  general-nist-800-207 NIST SP 800-207            125      125       0       0       0       0       5         0
  general-iec-62443-3-3-2013 IEC 62443-3-3        124      124       0       0       0       8      45         0
  general-naic-insurance-data-security-mode       122      122       0       0       0       1      51         0
  apac-ind-dpdpa-2023 India - DPDPA (2023)        120      120       0       0       0       2      20         0
  general-un-ece-wp-29-2020 UNECE WP.29 (20       107      107       0       0       0       0      43         0
  usa-state-va-cdpa-2023 Virginia Consumer        107      107       0       0       0       0      35         0
  general-un-155-2021 UN Regulation No. 155       106      106       0       0       0       0      42         0
  general-imo-maritime-cyber-risk-managemen       105      105       0       0       0       0      23         0
  general-iso-31000-2018 ISO 31000 (2018)         105      105       0       0       0       0      13         0
  usa-federal-sro-fca-crm-2023 Farm Credit        104      104       0       0       0       2      27         0
  usa-state-tn-tipa-2025 Tennessee Informat       101      101       0       0       0       0       0         0
  general-govramp-core GovRAMP Core               100      100       0       0       0      27       1         0
  usa-federal-doc-data-privacy-framework-20        99       99       0       0       0       0      13         0
  usa-state-or-ors-646a-2025 Oregon Consume        99       99       0       0       0       0      81         0
  usa-state-tx-cdpa-2025 Texas Consumer Dat        99       99       0       0       0       0       6         0
  general-sparta SPARTA Countermeasures            94       94       0       0       0       0       1         0
  general-nist-800-53-r5-2-high NIST SP 800        91       91       0       0       0      61       0         0
  emea-gbr-caf-4-0 UK - Cyber Assessment Fr        90       90       0       0       0       0       0        40
  general-pci-dss-4-0-1-saq-a Payment Card         90       90       0       0       0       0       6         0
  usa-state-or-cpa-2023 Oregon Consumer Pri        88       88       0       0       0       9      23         0
  general-nist-800-172 NIST SP 800-172             84       84       0       0       0       4       4         0
  general-pci-dss-4-0-1-saq-b Payment Card         83       83       0       0       0       0       9         0
  emea-sau-pdpl-2023 Saudi Arabia - Persona        81       81       0       0       0       2      23         0
  usa-federal-dow-safeguarding-nnpi-2010 Sa        81       81       0       0       0       0       3         0
  general-pci-dss-4-0-1-saq-p2pe Payment Ca        74       74       0       0       0       0      11         0
  usa-federal-sec-cybersecurity-rule-2023 S        74       74       0       0       0       0      12         0
  general-nist-800-37-r2 NIST SP 800-37 R2         72       72       0       0       0       0      22         0
  usa-state-ma-201-cmr-17-2008 Massachusett        70       70       0       0       0       0      24         0
  general-ul-2900-2-2-2016 UL 2900-2-2 (201        68       68       0       0       0       0      36         0
  usa-federal-far-52-204-21 FAR 52.204-21          67       67       0       0       0       5       9         0
  usa-state-vt-act-171-2018 Vermont Data Br        66       66       0       0       0       0      13         0
  general-bsi-200-1-1-0 Standard 200-1 (v1.        63       63       0       0       0       0       9         0
  usa-federal-dow-cmmc-2-level-3 Cybersecur        63       63       0       0       0       2       3         0
  usa-state-co-privacy-act-2021 Colorado Pr        61       61       0       0       0       0      16         0
  emea-eu-cyber-resilience-act-2022 EU Cybe        60       60       0       0       0       0      36         0
  general-iso-31010-2009 ISO 31010 (2009)          60       60       0       0       0       0      23         0
  usa-federal-hhs-45-cfr-155-260-2016 HHS §        60       60       0       0       0       0      21         0
  general-iec-tr-60601-4-5-2021 IEC TR 6060        59       59       0       0       0       2       0         0
  usa-federal-dow-cmmc-2-level-1 Cybersecur        59       59       0       0       0       5       7         0
  usa-federal-dow-cmmc-2-level-1-aos Cybers        59       59       0       0       0       0      59         0
  usa-federal-eo-14028 Executive Order 1402        57       57       0       0       0       1      12         0
  usa-state-ny-shield-act-2019 New York SHI        56       56       0       0       0       0      33         0
  usa-state-il-pipa-2006 Illinois Personal         55       55       0       0       0       0      45         0
  usa-federal-dhs-cisa-ssdaf-2024 CISA Secu        54       54       0       0       0       1      11         0
  general-cr-cmm-2026 Cyber Resilience Capa        47       47       0       0       0       0       3         0
  usa-federal-sro-finra FINRA Cybersecurity        46       46       0       0       0       0      24         0
  apac-chn-cybersecurity-law-2017 China - C        44       44       0       0       0       0       1         0
  usa-federal-dow-zta-reference-architectur        43       43       0       0       0       9       4         0
  general-iso-29100-2024 ISO 29100 (2024)          48       37       0       0       1       0       6         0
  usa-state-il-ipa-2009 Illinois Identity P        35       35       0       0       0       0      16         0
  usa-federal-omb-fipps-1973 US Fair Inform        34       34       0       0       0       0       4         0
  apac-nzl-hisf-microsmall-2023 New Zealand        33       33       0       0       0      10       4         0
  usa-state-tx-sb2610-2025 Texas Safe Harbo        33       33       0       0       0       0       0         0
  usa-federal-dow-dfars-252-204-7012 DFARS         31       31       0       0       0       0      12         0
  general-apec-privacy-framework-2015 APEC         29       29       0       0       0       0      11         0
  usa-state-tx-bc521-2009 Texas Identity Th        29       29       0       0       0       0      26         0
  general-nist-800-39 NIST SP 800-39               27       27       0       0       0       1       4         0
  usa-federal-law-ferpa-2010 Family Educati        27       27       0       0       0       0      26         0
  usa-state-ak-pipa-2009 Alaska Personal In        26       26       0       0       0       0      22         0
  emea-uae-niaf-2023 UAE - National Informa        25       25       0       0       0       0      11         0
  usa-state-nv-regulation-5-2024 Nevada Ope        23       23       0       0       0       1       2         0
  general-oecd-privacy-principles-2010 OECD        21       21       0       0       0       0       5         0
  usa-federal-law-sox-2002 SOX (2002)              17       17       0       0       0       0       1         0
  usa-federal-law-ftc-act Federal Trade Com        16       16       0       0       0       0       1         0
  usa-state-il-bipa-2008 Illinois Biometric        15       15       0       0       0       0       8         0
  usa-federal-law-coppa-2024 Children's Onl        12       12       0       0       0       0       1         0
  usa-state-ca-sb1386-2002 California SB138         9        9       0       0       0       0       5         0
  usa-state-ca-sb327-2018 California SB327          9        9       0       0       0       0       7         0
  usa-state-tx-sb820-2019 Texas SB820 (2019         7        7       0       0       0       0       6         0
  usa-federal-law-facta-fcra-2023 Fair & Ac         6        6       0       0       0       0       1         0
  usa-federal-far-52-204-25 FAR 52.204-25 (         5        5       0       0       0       0       2         0
  usa-state-nv-sb220-2019 Nevada SB220 (201         4        4       0       0       0       0       4         0
  emea-gbr-def-stan-05-138-l0-2024 UK - Def         3        3       0       0       0       0       2         0
  usa-federal-far-52-204-27 FAR 52.204-27           3        3       0       0       0       0       1         0

  46844 of 67248 mappings graded (69.7%). 13157 reach equal or subset. 73 frameworks get nothing.
  0 mappings had bundle rows that disagree and stay ungraded.
  0 mappings matched a bundle row for their own framework whose operator was NULL — the source did not state one we could read; stays ungraded.
  5589 mappings match a bundle row whose focal document did not resolve to a framework — re-run the seeder after fixing the name in the catalogue.
  Frameworks with 0 graded mappings can produce no coverage figure — that is the number to read before promising one.

Dry run complete. No rows written.
